angle_deg,distance_mm,quality,rotation
119.70,3.2,226,3
120.60,0.0,0,3
121.50,0.0,0,3
122.40,0.0,0,3
123.30,0.0,0,3
124.20,0.0,0,3
125.10,0.0,0,3
126.00,0.0,0,3
126.90,0.0,0,3
127.80,0.0,0,3
128.70,0.0,0,3
129.60,0.0,0,3
130.50,0.0,0,3
131.40,66.5,1,3
132.30,0.0,0,3
133.20,66.5,6,3
134.10,0.0,0,3
135.00,0.0,0,3
135.90,0.0,0,3
136.80,0.0,0,3
137.70,0.0,0,3
138.60,19.0,176,3
139.50,19.8,173,3
140.40,0.0,0,3
141.30,0.0,0,3
142.20,0.0,0,3
143.10,0.0,0,3
144.00,0.0,0,3
144.90,0.0,0,3
145.80,4.2,156,3
146.70,0.0,0,3
147.60,0.0,0,3
148.50,0.0,0,3
149.40,0.0,0,3
150.30,0.0,0,3
151.20,0.0,0,3
152.10,0.0,0,3
153.00,0.0,0,3
153.90,0.0,0,3
154.80,0.0,0,3
155.70,0.0,0,3
156.60,0.0,0,3
157.50,0.0,0,3
158.40,0.0,0,3
159.30,0.0,0,3
160.20,0.0,0,3
161.10,0.0,0,3
162.00,29.2,95,3
162.90,0.0,0,3
163.80,0.0,0,3
164.70,0.0,0,3
165.60,0.0,0,3
166.50,0.0,0,3
167.40,0.0,0,3
168.30,0.0,0,3
169.20,0.0,0,3
170.10,0.0,0,3
171.00,0.0,0,3
171.90,0.0,0,3
172.80,0.0,0,3
173.70,0.0,0,3
174.60,0.0,0,3
175.50,0.0,0,3
176.40,0.0,0,3
177.30,0.0,0,3
178.20,0.0,0,3
179.10,0.0,0,3
180.00,0.0,0,3
180.90,0.0,0,3
181.80,0.0,0,3
182.70,0.0,0,3
183.60,0.0,0,3
184.50,0.0,0,3
185.40,0.0,0,3
186.30,0.0,0,3
187.20,0.0,0,3
188.10,0.0,0,3
189.00,0.0,0,3
189.90,0.0,0,3
190.80,0.0,0,3
191.70,0.0,0,3
192.60,0.0,0,3
193.50,0.0,0,3
194.40,0.0,0,3
195.30,0.0,0,3
196.20,0.0,0,3
197.10,0.0,0,3
198.00,0.0,0,3
198.90,0.0,0,3
199.80,0.0,0,3
200.70,0.0,0,3
201.60,0.0,0,3
202.50,0.0,0,3
203.40,0.0,0,3
204.30,0.0,0,3
205.20,0.0,0,3
206.10,0.0,0,3
207.00,0.0,0,3
207.90,0.0,0,3
208.80,0.0,0,3
209.70,0.0,0,3
210.60,0.0,0,3
211.50,0.0,0,3
212.40,0.0,0,3
213.30,0.0,0,3
214.20,0.0,0,3
215.10,0.0,0,3
216.00,0.0,0,3
216.90,0.0,0,3
217.80,134.5,1,3
218.70,135.0,4,3
219.60,134.8,6,3
220.50,135.2,9,3
221.40,135.0,12,3
222.30,135.0,14,3
223.20,134.8,18,3
224.10,135.0,20,3
225.00,135.0,24,3
225.90,134.5,27,3
226.80,134.8,31,3
227.70,134.2,35,3
228.60,134.2,39,3
229.50,134.5,44,3
230.40,134.2,48,3
231.30,134.2,53,3
232.20,134.0,57,3
233.10,134.2,63,3
234.00,133.8,69,3
234.90,134.0,73,3
235.80,134.0,79,3
236.70,132.0,80,3
237.60,128.5,100,3
238.50,69.2,249,3
239.40,68.5,245,3
240.30,71.2,242,3
241.20,70.8,244,3
242.10,70.0,250,3
243.00,0.0,0,3
243.90,128.8,64,3
244.80,0.0,0,3
245.70,128.8,64,3
246.60,128.8,64,3
247.50,128.8,66,3
248.40,128.2,66,3
249.30,0.0,0,3
250.20,0.0,0,3
